ID,Name,Height,Image,Category,Source
671,Alexander the Great,,,[Historical],[]
180,Aristotle,,,[Historical],[]
888,Ben E. King,,,[Music],[]
982,Big Shaq,,,[Music],[]
665,Charles de Gaulle,,,[Historical],[]
189,Dev,171.0,,[Other],[Us]
97,Dixie D'Amelio,,,[Influencers],[]
954,Doechii,,,[Music],[]
501,Elizabeth I,,,[Historical],[]
588,Enrico Fermi,,,[Scientists],[]
950,Fergie,,,[Music],[]
17,Galileo Galilei,,,"[Historical,Scientists]",[]
185,Genghis Khan,,,[Historical],[]
767,Ivan Pavlov,,,[Scientists],[]
594,James Dyson,,,[Tech],[]
593,John Muir,,,[Historical],[]
38,Julius Caesar,,,[Historical],[]
584,Niels Bohr,,,[Scientists],[]
826,P!nk,,,[Music],[]
89,Sal Khan,,,[Influencers],[]
787,Scatman John,181.0,,[Music],[IMDb]
520,Socrates,,,[Historical],[]
748,Sonia Sotomayor,,,[Politics],[]
